DATE,Open,High,Low,Close,Adj Close,Volume
336,10688.7002,10710.15039,10436.4502,10453.04981,10453.04981,284800
337,10339.7002,10380.09961,10249.59961,10303.54981,10303.54981,357500
338,10405.84961,10408.54981,10224,10245.25,10245.25,297300
339,10152.59961,10222.09961,10102.34961,10146.79981,10146.79981,302600
340,10278.15039,10290.65039,10126.7002,10224.75,10224.75,351400
341,10135.04981,10166.59961,10079.29981,10124.90039,10124.90039,0
342,10122.34961,10128.84961,10004.54981,10030,10030,364300
343,10078.09961,10275.29981,10020.34961,10250.84961,10250.84961,364400
344,10239.40039,10285.09961,10175.34961,10198.40039,10198.40039,289800
345,10209.54981,10396,10105.09961,10386.59961,10386.59961,375000
346,10441.7002,10441.90039,10341.90039,10380.4502,10380.4502,348500
347,10462.29981,10606.9502,10457.7002,10553,10553,421200
348,10558.75,10558.79981,10477,10524,10524,301900
349,10552,10600.25,10491.4502,10530,10530,0
350,10614.4502,10616.4502,10582.29981,10598.40039,10598.40039,31200
351,10614.7002,10619.54981,10544.84961,10585.2002,10585.2002,296600
352,10607.79981,10645.5,10464.04981,10482.2002,10482.2002,259700
353,10451.90039,10596.25,10440.54981,10582.5,10582.5,254600
354,10634.90039,10651.59961,10532.7002,10576.29981,10576.29981,384500
355,10580.59961,10646.5,10557.5,10616.7002,10616.7002,0
356,10644,10695.15039,10631.15039,10682.2002,10682.2002,342800
357,10731.25,10774.7002,10688.79981,10763.40039,10763.40039,272100
358,10740.09961,10740.84961,10640.84961,10656.2002,10656.2002,295200
359,10670.9502,10671.29981,10562.34961,10600.04981,10600.04981,300900
360,10612.65039,10646.25,10512,10526.75,10526.75,239500
361,10568.29981,10637.79981,10489.75,10628.59961,10628.59961,0
362,10621.4502,10695.15039,10596.34961,10685.59961,10685.59961,0
363,10708.75,10757.79981,10699.84961,10728.84961,10728.84961,424500
364,10808.7002,10883.04981,10782.34961,10858.7002,10858.7002,691300
365,10892.09961,10922.4502,10835.09961,10876.75,10876.75,453900
366,10930.7002,10941.2002,10845.34961,10883.75,10883.75,409700
367,10877.09961,10890.9502,10833.34961,10869.5,10869.5,322100
368,10820.4502,10821.04981,10747.9502,10782.90039,10782.90039,312300
369,10718.15039,10722.65039,10588.25,10601.15039,10601.15039,318500
370,10644.79981,10704.54981,10599.34961,10693.7002,10693.7002,325800
